F,1,2,3,4,5,6,7,8,9,10,11,12
2048,1,1,1,1,1,1,0.999998291,0.999959421,0.999553134,0.997755433,0.992641263,0.981589712
2187,1,1,1,1,1,1,1,0.999966939,0.999571741,0.997789545,0.992692858,0.981657817
2304,1,1,1,1,1,1,1,0.999966939,0.999571741,0.997855975,0.99309476,0.982984094
2592,1,1,1,1,1,1,1,0.999966939,0.999726745,0.998708495,0.995673633,0.988657614
2916,1,1,1,1,1,1,1,0.999995643,0.999868831,0.999099234,0.996461622,0.989957796
3072,1,1,1,1,1,1,1,0.999995643,0.999868831,0.999099234,0.996471365,0.9900221
3456,1,1,1,1,1,1,1,0.999995643,0.999868831,0.999187807,0.997007234,0.99179047
3888,1,1,1,1,1,1,1,0.999995643,0.999946333,0.999614067,0.998296671,0.99462723
4096,1,1,1,1,1,1,1,0.999995643,0.999946333,0.999614067,0.998296671,0.994627762
4374,1,1,1,1,1,1,1,0.999999744,0.999966631,0.999669887,0.998409241,0.994813502
4608,1,1,1,1,1,1,1,0.999999744,0.999966631,0.999669887,0.998433598,0.994974263
5184,1,1,1,1,1,1,1,0.999999744,0.999966631,0.999747389,0.998902484,0.996521587
5832,1,1,1,1,1,1,1,0.999999744,0.999992465,0.999889475,0.999332297,0.997467173
6144,1,1,1,1,1,1,1,0.999999744,0.999992465,0.999889475,0.999332297,0.997470362
6561,1,1,1,1,1,1,1,1,0.999993734,0.999892964,0.999339332,0.997481971
6912,1,1,1,1,1,1,1,1,0.999993734,0.999892964,0.999375869,0.997723112
7776,1,1,1,1,1,1,1,1,0.999993734,0.999939465,0.9996572,0.998651506
8748,1,1,1,1,1,1,1,1,0.99999927,0.999969912,0.999749303,0.998854132
9216,1,1,1,1,1,1,1,1,0.99999927,0.999969912,0.999749303,0.998862901
10368,1,1,1,1,1,1,1,1,0.99999927,0.999969912,0.999785839,0.999104042
11664,1,1,1,1,1,1,1,1,0.99999927,0.999989288,0.999903061,0.999490873
13122,1,1,1,1,1,1,1,1,0.999999962,0.999993094,0.999914574,0.999516201
13824,1,1,1,1,1,1,1,1,0.999999962,0.999993094,0.999914574,0.999530816
15552,1,1,1,1,1,1,1,1,0.999999962,0.999993094,0.999940149,0.999699615
17496,1,1,1,1,1,1,1,1,0.999999962,0.999998629,0.999973641,0.999810138
19683,1,1,1,1,1,1,1,1,1,0.999998841,0.999974281,0.999811545
20736,1,1,1,1,1,1,1,1,1,0.999998841,0.999974281,0.999827987
23328,1,1,1,1,1,1,1,1,1,0.999998841,0.999987069,0.999912386
26244,1,1,1,1,1,1,1,1,1,0.999999879,0.999993348,0.999933109
31104,1,1,1,1,1,1,1,1,1,0.999999879,0.999993348,0.999946262
34992,1,1,1,1,1,1,1,1,1,0.999999879,0.999997915,0.999976405
39366,1,1,1,1,1,1,1,1,1,0.999999994,0.999998613,0.999978708
46656,1,1,1,1,1,1,1,1,1,0.999999994,0.999998613,0.99998638
52488,1,1,1,1,1,1,1,1,1,0.999999994,0.999999755,0.999993916
59049,1,1,1,1,1,1,1,1,1,1,0.99999979,0.999994031
69984,1,1,1,1,1,1,1,1,1,1,0.99999979,0.999997319
78732,1,1,1,1,1,1,1,1,1,1,0.99999998,0.999998575
104976,1,1,1,1,1,1,1,1,1,1,0.99999998,0.999999603
118098,1,1,1,1,1,1,1,1,1,1,0.999999999,0.999999728
157464,1,1,1,1,1,1,1,1,1,1,0.999999999,0.999999957
177147,1,1,1,1,1,1,1,1,1,1,1,0.999999963
236196,1,1,1,1,1,1,1,1,1,1,1,0.999999997
354294,1,1,1,1,1,1,1,1,1,1,1,1
531441,1,1,1,1,1,1,1,1,1,1,1,1
